preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
stemming,Vetorial (TF-IDF),176,0.0,0.0,0.0,0.04919015557033781,0.05555555555555555,0.0
stemming,BM25,176,0.0,0.0,0.0,0.050202833601251204,0.08333333333333333,0.0
stemming,Vetorial (TF-IDF),177,0.4,0.8,0.5333333333333333,0.7476190476190475,1.0,0.8388372112048964
stemming,BM25,177,0.3,0.6,0.4,0.656060606060606,1.0,0.735051111575158
stemming,Vetorial (TF-IDF),178,0.3,0.75,0.4285714285714285,0.581845238095238,1.0,0.8285667938846686
stemming,BM25,178,0.3,0.75,0.4285714285714285,0.4888888888888888,1.0,0.8056332245823165
stemming,Vetorial (TF-IDF),179,0.2,0.5,0.28571428571428575,0.2624163879598662,0.5,0.3973220069685352
stemming,BM25,179,0.2,0.5,0.28571428571428575,0.3194677871148459,0.5,0.44149241373678083
stemming,Vetorial (TF-IDF),180,0.3,0.42857142857142855,0.3529411764705882,0.3504928989139516,0.5,0.3818259591629045
stemming,BM25,180,0.3,0.42857142857142855,0.3529411764705882,0.3968706404337633,0.5,0.39216949344416374
stemming,Vetorial (TF-IDF),181,0.1,0.2,0.13333333333333333,0.2588337082974399,1.0,0.24913276910075044
stemming,BM25,181,0.2,0.4,0.26666666666666666,0.269859975415531,1.0,0.3571560500460547
stemming,Vetorial (TF-IDF),182,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.66967181649423
stemming,BM25,182,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.66967181649423
stemming,Vetorial (TF-IDF),183,0.6,0.46153846153846156,0.5217391304347826,0.51779918945992,1.0,0.44283147170740933
stemming,BM25,183,0.5,0.38461538461538464,0.4347826086956522,0.4399393378655056,1.0,0.5852487607611395
stemming,Vetorial (TF-IDF),184,0.1,0.14285714285714285,0.11764705882352941,0.11125296918241459,0.16666666666666666,0.10261394971732615
stemming,BM25,184,0.3,0.42857142857142855,0.3529411764705882,0.253768985304792,0.5,0.3764684625239823
stemming,Vetorial (TF-IDF),185,0.6,0.6666666666666666,0.631578947368421,0.7982822188704541,1.0,0.7972622302120428
